factor,horizon,ic_mean,ic_std,icir,ic_pos_ratio,abs_ic_mean,n_days
sharpe_20d,20d,-0.9324786747162808,0.07236072185221838,-12.886530853308416,0.0,0.9324786747162808,609
ma5_ma30_spread,20d,0.9040988757663312,0.0659211357935144,13.71485586350107,1.0,0.9040988757663312,609
ma3_ma20_spread,10d,0.8498894678326092,0.10892546916411318,7.802486180271745,0.9983579638752053,0.8498894678326092,609
ma10_ma20_spread,20d,0.8215912559831644,0.10530316540093264,7.802151557885532,1.0,0.8215912559831644,609
ma5_ma20_spread,20d,0.8206158730934155,0.11311375314965322,7.2547842348375955,1.0,0.8206158730934155,609
ma3_ma20_spread,20d,0.8194743263407998,0.11500143919807332,7.125774529911525,1.0,0.8194743263407998,609
ma5_ma20_spread,10d,0.8037191807123832,0.12753666840660613,6.301867460972129,0.9983579638752053,0.8037191807123832,609
return_7d,5d,-0.7902968830851221,0.13969202853296359,-5.657422913710736,0.0016420361247947454,0.7902968830851221,609
return_7d,10d,-0.7770284285994635,0.15273627175787077,-5.087386379518733,0.0049261083743842365,0.7770284285994635,609
rank_20,10d,0.768378705491391,0.14677528491039804,5.2350687376315665,0.9950576606260296,0.768378705491391,607
return_30d,20d,-0.7630159608897336,0.1651427542465992,-4.620341742335005,0.0,0.7630159608897336,609
rsv_9,5d,0.7577891644595397,0.14799989408606867,5.120200721352211,0.9967159277504105,0.7577891644595397,609
return_2d,3d,-0.7559071057643607,0.1441768523880874,-5.242915858154894,0.0,0.7559071057643607,609
rsv_9,3d,0.6861636435688317,0.16668679241613973,4.116484777364957,0.993431855500821,0.6861636435688317,609
rank_20,5d,0.6858522170455004,0.1719304504720329,3.989125923665655,0.9901153212520593,0.6858522170455004,607
rsv_9,10d,0.6792627504122613,0.1615839615199482,4.20377582046349,0.9917898193760263,0.6792627504122613,609
ma5_ma30_spread,10d,0.6750126577387638,0.18510088940574737,3.64672833234806,0.993431855500821,0.6750126577387638,609
rank_20,20d,0.6741438901113164,0.16129576126674752,4.179551184835114,0.9950576606260296,0.6741438901113164,607
macd_hist,10d,0.6592009128349237,0.1575158866409364,4.184980492396921,0.9983579638752053,0.6592009128349237,609
ma10_ma20_spread,10d,0.6182062339566025,0.19464675325320469,3.176041848241947,0.9885057471264368,0.6182062339566025,609
sharpe_20d,10d,-0.6170927686432739,0.1959662692017617,-3.1489744186941246,0.006568144499178982,0.6170927686432739,609
rank_20,3d,0.6054968473583201,0.193180680943393,3.1343550731956813,0.9868204283360791,0.6054968473583201,607
channel_high_20,10d,0.6012721826417113,0.27311415637900305,2.2015416213259935,0.9688013136288999,0.6012721826417113,609
ma3_ma20_spread,5d,0.5879429241320812,0.21020726341484577,2.796967690748968,0.9835796387520526,0.5879429241320812,609
return_7d,3d,-0.5842325882710295,0.21333179387115705,-2.7386100199573633,0.022988505747126436,0.5842325882710295,609
cntd_20,20d,0.578603384223944,0.18558473076383347,3.11773162502387,0.986863711001642,0.578603384223944,609
return_2d,5d,-0.557464025684482,0.22215764443910863,-2.509317323254558,0.024630541871921183,0.557464025684482,609
channel_high_20,20d,0.5367059720485297,0.3476151823555943,1.543965854458866,0.9064039408866995,0.5367059720485297,609
channel_high_20,5d,0.5358698113462396,0.2499573310204629,2.1438451481239826,0.9605911330049262,0.5358698113462396,609
return_7d,20d,-0.5222861301277485,0.23466574725739422,-2.225659842699056,0.03284072249589491,0.5222861301277485,609
macd_hist,5d,0.5122349844623729,0.2162205903160662,2.3690388769802166,0.9786535303776683,0.5122349844623729,609
return_30d,10d,-0.5112210495640704,0.24637175613512782,-2.0749986020462523,0.03940886699507389,0.5112210495640704,609
channel_high_20,3d,0.4687093816392759,0.2568203585919207,1.8250476099678687,0.9408866995073891,0.4687093816392759,609
ma20_ma60_spread,20d,0.46715743208437677,0.25525516905715756,1.83015855784597,0.9293924466338259,0.46715743208437677,609
rsv_9,20d,0.46302578849815895,0.21822237892298385,2.1218070794726893,0.9655172413793104,0.46302578849815895,609
ma5_ma20_spread,5d,0.45930772351932325,0.24576698385769555,1.8688748029119828,0.9490968801313628,0.45930772351932325,609
kmid2,3d,0.4420619397273466,0.21421165993488323,2.063668895809528,0.9655172413793104,0.4420619397273466,609
sharpe_20d,5d,-0.42528997611012415,0.2394561257098245,-1.776066387315959,0.05090311986863711,0.42528997611012415,609
cntd_20,10d,0.41852297561402757,0.2121514926326524,1.9727552722841997,0.9540229885057471,0.41852297561402757,609
macd_hist,20d,0.4070268071916489,0.2460657492206217,1.6541384100828682,0.9211822660098522,0.4070268071916489,609
ma3_ma20_spread,3d,0.38544720218698514,0.2566190086769669,1.5020212422073054,0.922824302134647,0.38544720218698514,609
return_2d,10d,-0.38390026773185687,0.2468638653976017,-1.5551091979927594,0.06732348111658457,0.38390026773185687,609
ma5_ma30_spread,5d,0.36781176619329053,0.25869515077848376,1.4217961376022912,0.9146141215106732,0.36781176619329053,609
return_30d,5d,-0.3448342475321626,0.27195954866959304,-1.2679615377326054,0.1116584564860427,0.3448342475321626,609
ksft2,3d,0.34322148314154316,0.23346199406979773,1.4701385744136617,0.9195402298850575,0.34322148314154316,609
macd_hist,3d,0.3423768058547222,0.2511615095327462,1.363173865659871,0.8932676518883416,0.3423768058547222,609
kmid2,5d,0.33378742042841925,0.2491570839291651,1.339666587699005,0.8998357963875205,0.33378742042841925,609
sharpe_20d,3d,-0.3269173434789984,0.251893151734672,-1.2978413316426802,0.10673234811165845,0.3269173434789984,609
cntd_20,5d,0.31105542132921354,0.23786139686741387,1.3077171219279382,0.90311986863711,0.31105542132921354,609
skew_20d,10d,0.26483107130176436,0.2598915472705029,1.0190060972861124,0.8587848932676518,0.26483107130176436,609
return_30d,3d,-0.2641236767693325,0.28647467272776045,-0.9219791552753834,0.180623973727422,0.2641236767693325,609
return_2d,20d,-0.2630625826950785,0.27270623278673706,-0.9646372215511475,0.1724137931034483,0.2630625826950785,609
skew_20d,5d,0.2623192211472394,0.24924218215358532,1.0524671982914828,0.8801313628899836,0.2623192211472394,609
cntd_20,3d,0.2585104946102588,0.2426602857540113,1.0653185122855873,0.8489326765188834,0.2585104946102588,609
ksft2,5d,0.2575858998517897,0.24917925256685303,1.0337373485085048,0.8472906403940886,0.2575858998517897,609
kmid2,10d,0.24717694543011165,0.25113564291815565,0.9842368154434609,0.8243021346469622,0.24717694543011165,609
ma5_ma20_spread,3d,0.23317315660670804,0.2810503368599093,0.8296490913758774,0.7980295566502463,0.23317315660670804,609
ma5_cross_ma20,5d,0.23289411317724573,0.148116093183534,1.5723754804190073,0.9201680672268907,0.23289411317724573,476
ma10_ma20_spread,5d,0.23084508633879003,0.2800650840048081,0.8242551446892499,0.7963875205254516,0.23084508633879003,609
amplitude_5d,20d,0.21469239933332757,0.40835938718258774,0.5257437592277834,0.6732348111658456,0.21469239933332757,609
turnover_ratio,3d,0.20897191259279477,0.26550845210997176,0.7870631271137088,0.7881773399014779,0.20897191259279477,609
vol_ratio,3d,0.2085006719696612,0.2649617490896522,0.7869085733545378,0.7881773399014779,0.2085006719696612,609
ksft2,10d,0.1978322412145415,0.2522129279970439,0.7843858076016634,0.7750410509031199,0.1978322412145415,609
skew_20d,3d,0.19588006113572728,0.24148439434668093,0.8111499778926379,0.7947454844006568,0.19588006113572728,609
ma5_ma30_spread,3d,0.18733647471213377,0.2831456346012499,0.6616258625210915,0.7602627257799671,0.18733647471213377,609
amplitude_5d,10d,0.18441623172535593,0.4010266486706829,0.4598602919198913,0.6699507389162561,0.18441623172535593,609
kmid2,20d,0.17993933801611275,0.262641826871146,0.6851130307755295,0.7339901477832512,0.17993933801611275,609
ma5_cross_ma20,3d,0.17950095898817534,0.17121454315053822,1.048397850352884,0.8298319327731093,0.17950095898817534,476
volatility_10d,20d,0.1784973279680511,0.39293477973244373,0.45426706205440276,0.6584564860426929,0.1784973279680511,609
klen,20d,0.17835914786518944,0.3599694752477637,0.4954840899840923,0.6650246305418719,0.17835914786518944,609
turnover_vol,20d,0.16693065336167032,0.3176318276003217,0.5255476273357602,0.6502463054187192,0.16693065336167032,609
ma20_ma60_spread,10d,0.1645571986938,0.2890473286043027,0.5693088377200468,0.6945812807881774,0.1645571986938,609
klen,10d,0.15958484081360713,0.3579980187931393,0.4457701787054287,0.6798029556650246,0.15958484081360713,609
volatility_20d,20d,0.15920491789430377,0.41799071486179723,0.3808814699315573,0.632183908045977,0.15920491789430377,609
volatility_10d,10d,0.15093183056215292,0.3827754310171895,0.394309086560404,0.6436781609195402,0.15093183056215292,609
ksft2,20d,0.14946217453121155,0.26151450788061525,0.571525364854492,0.7126436781609196,0.14946217453121155,609
amplitude_5d,5d,0.14894974499136454,0.40925446809323957,0.3639538639256338,0.6354679802955665,0.14894974499136454,609
ma5_cross_ma20,10d,0.14429956942224376,0.17279501990155977,0.8350910200100113,0.8025210084033614,0.14429956942224376,476
klen,5d,0.13925128264428943,0.3682014270653042,0.37819321819084595,0.6518883415435139,0.13925128264428943,609
klen,3d,0.12259393824540042,0.379204333079408,0.32329255641635407,0.6420361247947455,0.12259393824540042,609
liq_ratio,20d,0.11922144053717135,0.36250522432331855,0.32888199269326307,0.5911330049261084,0.11922144053717135,609
ma10_ma20_spread,3d,0.11578045004399204,0.28762116806484084,0.4025449546115837,0.6617405582922824,0.11578045004399204,609
turnover_ratio,5d,0.10560903571638498,0.256036647108628,0.4124762486503681,0.6584564860426929,0.10560903571638498,609
liq_ratio,10d,0.10544869537872437,0.36574344413196225,0.2883132891937166,0.5894909688013136,0.10544869537872437,609
vol_ratio,5d,0.10509504576423388,0.2553809765938667,0.4115226089504972,0.6568144499178982,0.10509504576423388,609
turnover_vol,10d,0.10217485908574472,0.34037044583961457,0.3001872234638444,0.5894909688013136,0.10217485908574472,609
volatility_30d,20d,0.09778689576313769,0.419878186522308,0.2328934888784519,0.5451559934318555,0.09778689576313769,609
liq_ratio,5d,0.0888420408340453,0.3658973608194904,0.24280590774163602,0.5862068965517241,0.0888420408340453,609
amplitude_5d,3d,0.08181135378761481,0.3868562363887427,0.21147740708877835,0.5878489326765188,0.08181135378761481,609
liq_ratio,3d,0.07862843648067126,0.3598847946756291,0.21848224110590875,0.5845648604269293,0.07862843648067126,609
volatility_20d,10d,0.06866704822450531,0.3969220655913723,0.1729988180984562,0.541871921182266,0.06866704822450531,609
volatility_10d,5d,0.06541153900904148,0.38362841524690083,0.17050754430414916,0.5533661740558292,0.06541153900904148,609
turnover_vol,5d,0.06180596818136321,0.33098248377984063,0.18673486123958946,0.5582922824302134,0.06180596818136321,609
