window,train,test,strategy,benchmark,excess,trades,samples
1,2018-01~2020-12,2021-01~2022-01,78.40417730000031,14.460598742639041,63.94357855736127,471,3729
2,2019-01~2021-12,2022-01~2023-01,-90.87567650000011,-18.447502209672585,-72.42817429032752,167,4246
3,2020-01~2022-12,2023-01~2024-01,-92.26326309999968,-4.1658770022892355,-88.09738609771044,330,4311
4,2021-01~2023-12,2024-01~2025-01,-23.186900100000884,24.305935700804408,-47.492835800805295,481,4374
5,2022-01~2024-12,2025-01~2026-01,51.20459700000026,22.68962145522586,28.5149755447744,366,4356
6,2023-01~2025-12,2026-01~2026-07,-11.788764299999999,-11.733616109258554,-0.055148190741444836,106,4374
